GSM_ID,Factor,Biosource,GIGGLE_score
GSM1692858,TAL1,Hematopoietic progenitors,1447.9661275661313
GSM1692855,LMO2,Hematopoietic progenitors,1432.3983863589817
GSM989024,TAL1,Hematopoietic Cell,1431.4173769955844
GSM995445,GATA1,G1E-ER4;Erythroid Cell,1428.679516476161
GSM923579,TAL1,G1E;Erythroid progenitor,1427.370103276112
GSM1689011,GATA1,G1E-ER4;Erythroid Cell,1426.7062515909151
GSM832319,RUNX1,L8057;Megakaryocyte;Bone Marrow,1423.0158026843546
GSM552237,LMO2,HPC-7;Haematopoietic Progenitor Cell,1407.6014292886146
GSM1689025,TAL1,G1E-ER4;Erythroid Cell,1405.5190117556967
GSM1003808,GATA1,MEL;Erythroid Progenitor Cell,1405.2343942836105
GSM832315,RUNX1,L8057;Megakaryocyte;Bone Marrow,1399.3284200251935
GSM552242,TAL1,HPC-7;Haematopoietic Progenitor Cell,1398.6850173664993
GSM912921,EP300,MEL;Erythroid Progenitor Cell,1394.834169440084
GSM832320,RNF2,L8057;Megakaryocyte;Bone Marrow,1391.0907037086374
GSM1144556,TAL1,MEL;Erythroid Progenitor Cell,1389.20923167469
GSM1708654,LYL1,416B;Myeloid Progenitor Cell;Blood,1384.3846480627137
GSM1689014,GATA1,G1E-ER4;Erythroid Cell,1383.919236477033
GSM1689021,TAL1,G1E;Erythroid progenitor,1378.1701791811206
GSM1689012,GATA1,G1E-ER4;Erythroid Cell,1378.105577821322
GSM1689022,TAL1,G1E;Erythroid progenitor,1367.8316150760327
GSM1708658,TAL1,416B;Myeloid Progenitor Cell;Blood,1364.9909668507573
GSM995442,GATA1,G1E-ER4;Erythroid Cell,1363.4105983397633
GSM746555,TAL1,G1E;Erythroid progenitor,1362.8460423567935
GSM1167575,TCF7L1,Mast Cell;Bone Marrow,1362.056656684706
GSM995447,TAL1,Megakaryocyte;Blood,1360.8752769082628
GSM552238,LYL1,HPC-7;Haematopoietic Progenitor Cell,1359.5638991402486
GSM1144548,TAL1,J1;Embryonic Stem Cell;Embryo,1356.4478213557786
GSM722388,SMAD1,G1E;Erythroid progenitor,1355.4341656928857
GSM1055553,LDB1,Hemangioblast;Embryo,1355.157422218903
GSM1167583,TAL1,Mast Cell;Bone Marrow,1349.5136692243527
GSM995443,GATA1,G1E-ER4;Erythroid Cell,1349.4791807324148
GSM832317,RNF2,L8057;Megakaryocyte;Bone Marrow,1348.249473408298
GSM1692853,GFI1,Hematopoietic progenitors,1345.1362559438207
GSM923578,TAL1,MEL;Erythroid Progenitor Cell,1343.7653479324508
GSM1144547,TAL1,J1;Embryonic Stem Cell;Embryo,1343.153176160055
GSM2665580,TAL1,Embryonic Stem Cell,1341.4720721714045
GSM912903,MYB,MEL;Erythroid Progenitor Cell,1340.2120490822817
GSM1692846,LMO2,Embryonic Stem Cell,1339.5258573365045
GSM1708652,GATA2,416B;Myeloid Progenitor Cell;Blood,1338.8278665646255
GSM777091,GATA2,G1ME;Megakaryocyte;Bone Marrow,1334.2897665693727
GSM1568620,GATA1,G1ME;Megakaryocyte;Bone Marrow,1329.8388371118324
GSM872893,GATA1,G1ME;Megakaryocyte;Bone Marrow,1329.8388371118324
GSM777092,GATA1,G1ME;Megakaryocyte;Bone Marrow,1329.8388371118324
GSM1689029,TAL1,G1E-ER4;Erythroid Cell,1328.978976429632
GSM552241,RUNX1,HPC-7;Haematopoietic Progenitor Cell,1328.1484507162997
GSM1689018,GATA1,G1E-ER4;Erythroid Cell,1327.1825227977554
GSM1689028,TAL1,G1E-ER4;Erythroid Cell,1324.8439163039536
GSM832316,CBFB,L8057;Megakaryocyte;Bone Marrow,1324.5770951702566
GSM2431711,TAL1,Mesodermal Cell,1320.6049370135167
GSM1543575,TAL1,Mesodermal Cell,1319.8927055180181
GSM1167573,TCF7L1,HPC-7;Haematopoietic Progenitor Cell,1319.5761068486927
GSM1692848,TAL1,Embryonic Stem Cell,1317.8070652746403
GSM1144552,TAL1,Mesodermal Cell,1316.1268358775912
GSM1692842,LMO2,Hemangioblast,1315.329144553638
GSM641911,GATA2,Haematopoietic Progenitor Cell;Bone Marrow,1314.522425352374
GSM746556,TAL1,G1E;Erythroid progenitor,1314.3198180836857
GSM1359841,TAL1,J1;Embryonic Stem Cell;Embryo,1312.456720034466
GSM1692843,TAL1,Hemangioblast,1297.8548169123121
GSM1568621,GATA1,G1ME;Megakaryocyte;Bone Marrow,1297.2576722643275
GSM2431713,TAL1,Mesodermal Cell,1296.2773948000645
GSM832311,RUNX1,L8057;Megakaryocyte;Bone Marrow,1296.1825148733326
GSM746572,TAL1,G1E-ER4;Erythroid Cell,1293.8166659635222
GSM989019,TAL1,Endothelial Cell,1293.1364202125112
GSM1689016,GATA1,G1E-ER4;Erythroid Cell,1290.9093245589356
GSM867157,GATA1,Erythroid Progenitor Cell;Blood,1289.0163858652431
GSM995444,GATA1,G1E-ER4;Erythroid Cell,1284.8890699110289
GSM872894,ZFPM1,G1ME;Megakaryocyte;Bone Marrow,1281.8445781423954
GSM912907,GATA1,MEL;Erythroid Progenitor Cell,1280.974284194368
GSM1689032,TAL1,G1E-ER4;Erythroid Cell,1280.8919149697447
GSM722387,GATA2,G1E;Erythroid progenitor,1273.3161092572118
GSM1532605,GATA1,G1E;Erythroid progenitor,1271.6699441935486
GSM641910,TAL1,Bone Marrow,1260.415732676745
GSM1167579,LMO2,Mast Cell;Bone Marrow,1258.3641851604914
GSM2412761,CBFB,Liver cell;Fetal Liver,1257.8814066871691
GSM832313,RNF2,L8057;Megakaryocyte;Bone Marrow,1253.922651404152
GSM912893,EP300,MEL;Erythroid Progenitor Cell,1245.2245706512579
GSM1574787,RUNX1,Embryonic Stem Cell,1234.4470592055848
GSM832312,CBFB,L8057;Megakaryocyte;Bone Marrow,1232.2585937181154
GSM746571,TAL1,G1E-ER4;Erythroid Cell,1208.3392814438687
GSM867156,GATA1,Erythroid Progenitor Cell;Blood,1205.802638161021
GSM1218225,GATA1,FDCPmix;Hematopoietic Stem Cell;Bone Marrow,1194.700314374054
GSM1532603,GATA1,G1E;Erythroid progenitor,1180.0958496879828
GSM453997,GATA1,G1E;Erythroid progenitor,1138.4854831115201
GSM995449,GATA1,G1E-ER4;Erythroid Cell,1129.5020522276604
GSM995448,GATA1,G1E-ER4;Erythroid Cell,1123.1341669422995
GSM1940054,GATA1,Embryoid Bodies;Blood,1120.4524942877108
GSM2232489,CTCF,Dendritic Cell;Bone Marrow,1113.8688134545869
GSM923576,TAL1,G1E-ER4;Erythroid Cell,1109.8240893314326
GSM897224,GATA1,G1E-ER4;Erythroid Cell,1107.9029723727044
GSM464634,TAL1,Erythroblast;Liver,1062.6085733359967
GSM912927,POLR2A,MEL;Erythroid Progenitor Cell,1037.59927590966
GSM923587,GATA2,G1E;Erythroid progenitor,1025.3813705551452
GSM1448833,KDM1A,MEL;Erythroid Progenitor Cell,1017.88773878423
GSM923572,GATA1,G1E-ER4;Erythroid Cell,1001.9672441618364
GSM552234,GATA2,HPC-7;Haematopoietic Progenitor Cell,986.0725360804845
GSM1003780,SIN3A,MEL;Erythroid Progenitor Cell,974.8770056486114
GSM989018,TAL1,Endothelial Cell,963.9392970486656
GSM464636,TAL1,Erythroblast;Liver,960.8251127213324
GSM1132365,ERG,Blood,957.1959640259264
GSM912934,MYC,MEL;Erythroid Progenitor Cell,955.277921699229
GSM912928,MXI1,MEL;Erythroid Progenitor Cell,936.5204960641892
GSM2124103,H3K4me3,Brain,935.717195645848
GSM1532602,GATA1,G1E;Erythroid progenitor,932.3047566960464
GSM746568,GATA1,G1E-ER4;Erythroid Cell,931.7838369029151
GSM1517428,GATA1,G1ME;Megakaryocyte;Bone Marrow,921.5562184212426
GSM1003794,BHLHE40,MEL;Erythroid Progenitor Cell,901.4571599999119
GSM2232488,CTCF,Dendritic Cell;Bone Marrow,884.8672090285035
GSM2232487,CTCF,Dendritic Cell;Bone Marrow,882.9126850389847
GSM2149945,KDM4A,Granulocyte Monocyte Progenitor,870.4915918358545
GSM2538390,CTCF,Myocyte;Left Ventricle,862.7426375545857
GSM1003775,POLR2A,MEL;Erythroid Progenitor Cell,862.7283776305745
GSM1139139,CDK9,C88 MEL;Erythroid Progenitor Cell;Blood,862.3862898675752
GSM1003777,ETS1,MEL;Erythroid Progenitor Cell,857.6059928751126
GSM2124099,H3K4me3,Brain,852.921334449951
GSM912899,MAFK,MEL;Erythroid Progenitor Cell,849.8277634728868
GSM1003790,MAZ,MEL;Erythroid Progenitor Cell,842.172081078063
GSM1973458,EP300,HPC-7;Hematopoietic Cell,832.3705888554393
GSM2091496,TEAD4,Hemogenic Endothelium,822.4044120810913
GSM2232490,CTCF,Dendritic Cell;Bone Marrow,821.3509114658208
GSM2124096,H3K4me3,Brain,821.332158093052
ENCSR982LJQ_1,EP300,Liver,819.3743920391915
GSM1835951,SMARCA4,Embryonic Fibroblast,806.9434669483657
GSM1003789,RCOR1,MEL;Erythroid Progenitor Cell,805.0757715601686
GSM867158,GATA1,Erythroid Progenitor Cell;Blood,803.1917238304572
GSM1103355,RUNX1,Megakaryocyte,798.8621687471514
GSM1220849,KMT2B,Embryoid Bodies,797.2655713840387
GSM1708655,MEIS1,416B;Myeloid Progenitor Cell;Blood,784.1504411019667
GSM1566197,H3K4me3,Embryonic Fibroblast,773.5381399895653
GSM2387246,POLR2A,B3;B Lymphocyte;Blood,772.2158703961301
GSM912895,POLR2A,MEL;Erythroid Progenitor Cell,772.1460826428566
GSM2418364,CTCF,DN2;Thymocyte,760.8514848549913
GSM1973452,EP300,HPC-7;Hematopoietic Cell,759.3171300515759
GSM1566198,H3K4me3,Embryonic Fibroblast,758.367715678469
GSM722636,CTCF,Bone Marrow,754.2648477012582
GSM1296405,SMARCA5,3134;Epithelium;Mammary Gland,749.8172756816756
GSM2184310,CHD4,resting;Spleen,749.2619779544752
GSM2231911,TAL1,Hoxb8-FL;LMPP-like,746.6672795332311
GSM1582439,GATA1,Erythroblast,746.5519724836356
GSM1132367,ERG,Blood,743.9272250502969
GSM2124104,H3K4me3,Brain,730.5961048732622
GSM2149948,KDM4C,Granulocyte Monocyte Progenitor,730.364714364271
GSM1835950,SMARCB1,Embryonic Fibroblast,722.6633779911044
GSM915188,CTCF,C2C12;Myoblast;Muscle,722.3124005754195
GSM1315603,CREBBP,Fibroblast;Embryo,719.2251225077149
GSM1004840,JMJD6,Th17,713.3539719892705
GSM1526996,SUZ12,Leukemia Cell;Blood,713.0467711045169
GSM552233,FLI1,HPC-7;Haematopoietic Progenitor Cell,712.2455176863979
GSM1058996,KDM4C,Embryonic Stem Cell;Embryo,710.9557741718899
GSM1132355,CTCF,B Lymphocyte,705.9976202848776
GSM1218224,GATA2,FDCPmix;Hematopoietic Stem Cell;Bone Marrow,705.4101271495537
GSM1030543,PPARG,10T1/2;Fibroblast;Embryo,704.8336056507204
GSM1874089,POLR2A,Forebrain,702.1761006754413
GSM2143305,KDM4A,Embryonic Stem Cell,701.4512946687904
GSM2635603,TOP2A,B Lymphocyte,695.7896676725077
