GSM_ID,Factor,Biosource,GIGGLE_score
GSM1498451,SUZ12,Thymocyte;Thymus,1418.2475125243016
GSM1498452,SUZ12,Thymocyte;Thymus,1271.3345646144985
GSM2319270,CTCF,Rod;Retina,1058.4310936546458
GSM1346039,TAF9B,HBG3;Embryonic Stem Cell;Embryo,1040.042181648826
GSM1004805,CTCF,Th17,1015.7362096789017
GSM918757,CTCF,Bone Marrow,997.834966908385
GSM1973721,CTCF,Stromal Cell;Bone Marrow,988.9823752717
GSM1902311,SMC1A,T Lymphocyte,986.8748179459736
GSM915188,CTCF,C2C12;Myoblast;Muscle,985.090920543515
GSM1156665,CTCF,Pre-B Lymphocyte,942.6604592752841
GSM1023420,CTCF,Pre-B Lymphocyte,942.6604592752841
GSM2088399,SMC1A,Spermatid,937.4994116770828
GSM1132357,CTCF,B Lymphocyte,930.3418287352665
GSM700554,SUZ12,Embryonic Stem Cell;Embryo,929.9643997110544
GSM1132320,CTCF,B Lymphocyte,921.6233490709843
GSM2596860,MTF2,Embryonic Stem Cell,909.7988132156524
GSM1132325,CTCF,B Lymphocyte,909.3522944324062
GSM1902312,SMC3,T Lymphocyte,908.998977437392
GSM2224546,SMC1A,Progenitor Cells;Bone Marrow,905.9942705276616
GSM1199182,EZH2,E14;Embryonic Stem Cell;Embryo,904.9283960642567
ENCSR397RHW_1,CTCF,Liver,901.8005488464464
GSM930151,KDM2B,Embryonic Stem Cell;Embryo,899.8781036093354
GSM2224548,RAD21,Progenitor Cells;Bone Marrow,893.2939216910491
GSM1466753,EZH2,Embryonic Stem Cell,889.8757795069424
GSM1696039,RAD21,Fibroblast,888.7261497474382
GSM1648483,RAD21,Fibroblast,888.7261497474382
GSM1004840,JMJD6,Th17,885.6960288954197
GSM2596862,SUZ12,Embryonic Stem Cell,880.4384814356364
GSM560351,CTCF,V6.5;Embryonic Fibroblast;Embryo,880.2241424909619
GSM480680,SUZ12,Embryonic Stem Cell;Embryo,875.1048411874314
GSM1648484,SMC1A,Fibroblast,871.8968625098515
GSM918756,CTCF,Epithelium;Heart,867.6780881670245
GSM2149945,KDM4A,Granulocyte Monocyte Progenitor,860.735251780185
GSM1132323,CTCF,B Lymphocyte,858.4474181729267
GSM1310233,SRF,Cornea,857.1932068982713
GSM1399511,SUZ12,E14;Embryonic Stem Cell;Embryo,857.0114298941617
GSM1973718,CTCF,Stromal Cell;Bone Marrow,852.1732618998606
GSM970528,SUZ12,Embryonic Stem Cell;Embryo,847.5039774584114
GSM851310,CTCF,Olfactory Bulb,845.462581289525
GSM1004803,CTCF,Th0,845.1666136902188
GSM1557000,BRD2,T Lymphocyte,844.0578433791161
GSM1874089,POLR2A,Forebrain,841.0218407466841
GSM1132322,CTCF,B Lymphocyte,834.9196283996546
GSM2143305,KDM4A,Embryonic Stem Cell,832.1878977517704
GSM1341944,SUZ12,Embryonic Stem Cell;Embryo,830.651796492283
GSM1973715,CTCF,Stromal Cell;Bone Marrow,819.6484909480486
GSM851292,CTCF,Epithelium;Embryonic Limb,816.8413173408121
GSM1399512,SUZ12,E14;Embryonic Stem Cell;Embryo,816.834363689209
GSM918743,CTCF,Embryonic Fibroblast;Embryo,816.704251723329
GSM723004,CTCF,Fibroblast;Embryo,816.704251723329
GSM1973722,CTCF,Stromal Cell;Bone Marrow,816.3271361771741
GSM1399516,SUZ12,E14;Embryonic Stem Cell;Embryo,811.9916184881371
GSM1151620,SUZ12,Th17;Blood,810.6509697591916
GSM1399517,SUZ12,E14;Embryonic Stem Cell;Embryo,809.5153662741839
GSM918736,CTCF,Olfactory Bulb,807.1351351252935
GSM2356585,CBX7,Embryonic Stem Cell,806.110248902467
GSM2124096,H3K4me3,Brain,803.0608439640088
GSM480681,SUZ12,Embryonic Stem Cell;Embryo,802.4978886351834
GSM1132331,CTCF,B Lymphocyte,802.2104863674653
GSM1132330,CTCF,B Lymphocyte,801.5985584012469
GSM1132355,CTCF,B Lymphocyte,800.6057118064115
GSM1132354,MZF1,B Lymphocyte,800.1258951565057
GSM1132328,CTCF,B Lymphocyte,799.5564030904112
GSM1341949,EZH2,Embryonic Stem Cell;Embryo,797.8593497365355
GSM1299601,RARA,Liver,797.632969357367
GSM1036126,CTCF,Epithelium;Limb Bud,796.8605331794681
GSM1132358,CTCF,B Lymphocyte,794.2937327874782
GSM836458,CTCF,B Lymphocyte;Blood,792.5830027984675
GSM1648482,RAD21,Fibroblast,791.8072508575641
GSM1004804,CTCF,Th17,788.2223422544295
GSM937542,STAG2,V6.5;Embryonic Stem Cell;Embryo,787.6268661849344
GSM1030543,PPARG,10T1/2;Fibroblast;Embryo,786.449203125324
GSM1218868,POLR2A,Preadipocyte;Adipose,784.0914014694846
GSM2232487,CTCF,Dendritic Cell;Bone Marrow,783.4338518769612
GSM2445200,RAD21,Neutrophil cell ,783.013826776089
GSM2149948,KDM4C,Granulocyte Monocyte Progenitor,779.6005978857326
GSM1399519,SUZ12,E14;Embryonic Stem Cell;Embryo,773.8618633962938
GSM2124103,H3K4me3,Brain,770.323812180931
GSM2098959,H3K4me3,E14Tg2A;Embryonic Stem Cell,766.5915897387943
GSM1648481,RAD21,Fibroblast,763.124097477763
GSM1399518,SUZ12,E14;Embryonic Stem Cell;Embryo,759.8503804323447
GSM1561377,POLR2A,Adipose,758.5134260823316
GSM2418363,CTCF,DN2;Thymocyte,756.9810931981389
GSM491760,JARID2,Embryonic Stem Cell;Embryo,756.9085459024138
GSM1399514,SUZ12,E14;Embryonic Stem Cell;Embryo,756.6549791673116
GSM1504389,SMC1A,Thymocyte,754.8907410375322
GSM2232489,CTCF,Dendritic Cell;Bone Marrow,754.3309330032242
GSM2124099,H3K4me3,Brain,753.5888128794738
GSM824848,RAD21,V6.5;Embryonic Stem Cell;Embryo,752.6577020149516
GSM1132327,CTCF,B Lymphocyte,750.7273152490054
GSM2319275,CTCF,Rod;Retina,750.3048265252
GSM1132349,CTCF,B Lymphocyte,748.9957418961731
GSM550304,STAT4,T Lymphocyte;Blood,747.385745624901
GSM851328,CTCF,Thymus,746.9858739337955
GSM2445201,RAD21,Myeloid Progenitor Cell,746.5843306407801
GSM461265,KDM1A,Embryonic Stem Cell;Embryo,746.568019757732
GSM307145,SUZ12,V6.5;Embryonic Stem Cell;Embryo,739.7246629496448
GSM1341948,EZH2,Embryonic Stem Cell;Embryo,739.6420295285277
GSM1973719,CTCF,Stromal Cell;Bone Marrow,738.1197724587305
GSM2356584,CBX7,Embryonic Stem Cell,737.2258306291296
GSM2781052,KDM2B,JHU-06;reprogramming cells,737.1294130714548
GSM1504390,SMC1A,Thymocyte,736.7410698876994
GSM1132348,CTCF,B Lymphocyte,735.8047855993159
GSM918734,CTCF,Thymus,734.5634858053198
GSM2026237,CTCF,Macrophage,734.5202611443045
GSM1132321,CTCF,B Lymphocyte,732.9726699015347
GSM970527,SUZ12,Embryonic Stem Cell;Embryo,729.23102064179
GSM1310232,SRF,Cornea,726.9207637201104
GSM1399515,SUZ12,E14;Embryonic Stem Cell;Embryo,726.5263908987565
GSM2610619,CBX7,E14Tg2A;Embryonic Stem Cell,726.1245530148897
GSM1620003,CTCF,Th2,722.5973576265344
GSM937541,STAG1,V6.5;Embryonic Stem Cell;Embryo,721.8590518419618
ENCSR041SMK_1,CTCF,Liver,721.0692099291448
GSM1213057,RARA,Liver,719.6628968693585
GSM1299598,RARA,Liver,719.6628968693585
GSM2635603,TOP2A,B Lymphocyte,711.7568958190144
GSM2740561,RAD21,Liver,711.7481965936323
GSM1399510,SUZ12,E14;Embryonic Stem Cell;Embryo,711.1266759060902
GSM1019771,SUZ12,E14;Embryonic Stem Cell;Embryo,709.4400634381325
GSM1041374,SUZ12,E14;Embryonic Stem Cell;Embryo,709.4400634381325
GSM2948982,CTCF,Amac_I_N-rG79.04;iPSC,708.2407080930142
GSM1082345,SUZ12,Embryonic Stem Cell;Embryo,708.0767061379097
GSM2224547,SMC1A,Progenitor Cells;Bone Marrow,706.529389493017
GSM918741,CTCF,Epithelium;Limb,705.5061948950276
GSM722990,CTCF,Spleen,704.0865556218761
GSM918745,CTCF,Spleen,704.0865556218761
GSM2445203,CTCF,Myeloid Progenitor Cell,701.3844938341865
GSM1218867,POLR2A,Preadipocyte;Adipose,700.3245240465403
GSM2226564,SP1,STHdh Q7/Q7;Neuron,698.5783548402769
GSM2192643,SUZ12,Embryonic Stem Cell,697.9439767143996
GSM2779239,SUZ12,Embryonic Stem Cell,697.487501440828
GSM1004802,CTCF,Th0,697.1265248220645
GSM1872302,SUZ12,ILC87;T Lymphocyte,693.9929246986987
GSM2098946,C17orf96,E14Tg2A;Embryonic Stem Cell,692.3173326623881
GSM2433038,CTCF,Mammary Gland,692.2837796490344
ENCSR491NUM_1,CTCF,Heart,691.6129257111861
GSM1132347,CTCF,B Lymphocyte,690.7653028031787
GSM2232488,CTCF,Dendritic Cell;Bone Marrow,689.5083022061079
GSM2232490,CTCF,Dendritic Cell;Bone Marrow,689.3106427343685
GSM1132326,CTCF,B Lymphocyte,688.2973213629804
GSM1059004,EZH2,Embryonic Stem Cell;Embryo,687.9789567144863
GSM1979728,STAG1,Embryonic Fibroblast,687.8375449506503
GSM1066047,CTCF,B Lymphocyte;Spleen,686.3957568946979
GSM1437470,POLR2A,Embryonic Stem Cell,684.8191098170777
GSM2040540,WIZ,Cerebellum,683.0731937209996
GSM881052,CTCF,Dendritic Cell;Bone Marrow,682.6215671390149
GSM970266,CTCF,Embryonic Stem Cell;Embryo,679.5662173880229
GSM1566092,POLR2A,V6.5;Embryonic Stem Cell;Embryo,679.3438426210031
GSM700553,SUZ12,Embryonic Stem Cell;Embryo,678.069840602828
GSM1466751,EZH2,Embryonic Stem Cell,676.1038192816718
GSM2319268,CTCF,Rod;Retina,675.9548138218912
GSM1328930,SCML2,Germline stem cell,675.809224145424
GSM2192997,SUZ12,Embryonic Stem Cell,673.8186180420594
GSM2652788,CTCF,resting;Spleen,671.750833828315
GSM992344,SRF,10T1/2;Fibroblast;Embryo,670.8441633243644
