GSM_ID,Factor,Biosource,GIGGLE_score
GSM1498452,SUZ12,Thymocyte;Thymus,1171.085044922191
GSM1498451,SUZ12,Thymocyte;Thymus,1127.2882216069404
GSM1004805,CTCF,Th17,963.022528593133
GSM480680,SUZ12,Embryonic Stem Cell;Embryo,949.2124239239399
GSM1973721,CTCF,Stromal Cell;Bone Marrow,921.0023208655264
GSM1199182,EZH2,E14;Embryonic Stem Cell;Embryo,913.300414908573
GSM1399517,SUZ12,E14;Embryonic Stem Cell;Embryo,911.8652383239688
GSM2779239,SUZ12,Embryonic Stem Cell,905.2624469594792
GSM1399511,SUZ12,E14;Embryonic Stem Cell;Embryo,883.1501478858206
GSM1399518,SUZ12,E14;Embryonic Stem Cell;Embryo,873.6458965419299
GSM560351,CTCF,V6.5;Embryonic Fibroblast;Embryo,873.3697529297331
GSM1299598,RARA,Liver,859.9330353373407
GSM1213057,RARA,Liver,859.9330353373407
GSM918757,CTCF,Bone Marrow,855.9239677416894
GSM700554,SUZ12,Embryonic Stem Cell;Embryo,853.5247724228967
GSM1399516,SUZ12,E14;Embryonic Stem Cell;Embryo,849.8239405327108
GSM1328930,SCML2,Germline stem cell,846.1060714047297
GSM1346039,TAF9B,HBG3;Embryonic Stem Cell;Embryo,844.3122934234704
GSM2088399,SMC1A,Spermatid,836.2676378728543
GSM1156665,CTCF,Pre-B Lymphocyte,835.5533969952215
GSM1023420,CTCF,Pre-B Lymphocyte,835.5533969952215
GSM918756,CTCF,Epithelium;Heart,826.6115639989999
GSM1399519,SUZ12,E14;Embryonic Stem Cell;Embryo,824.3344135380138
GSM1466753,EZH2,Embryonic Stem Cell,823.3346045037507
GSM1299601,RARA,Liver,822.7692237920974
GSM1648484,SMC1A,Fibroblast,809.4260431923434
GSM2596862,SUZ12,Embryonic Stem Cell,808.1317899863832
GSM915188,CTCF,C2C12;Myoblast;Muscle,807.711619979507
GSM1004803,CTCF,Th0,803.9988037238686
GSM970527,SUZ12,Embryonic Stem Cell;Embryo,802.9556755776549
GSM2596860,MTF2,Embryonic Stem Cell,802.0597736776964
GSM2781052,KDM2B,JHU-06;reprogramming cells,798.1813747678493
GSM1648483,RAD21,Fibroblast,786.5830882146124
GSM1696039,RAD21,Fibroblast,786.5830882146124
GSM930144,RNF2,Embryonic Stem Cell;Embryo,786.1675602058531
GSM2445201,RAD21,Myeloid Progenitor Cell,785.7292904784865
GSM550304,STAT4,T Lymphocyte;Blood,784.0039126463598
GSM1872302,SUZ12,ILC87;T Lymphocyte,781.4476629360147
GSM1973718,CTCF,Stromal Cell;Bone Marrow,778.472564589354
GSM1902311,SMC1A,T Lymphocyte,778.3763046291887
GSM1399514,SUZ12,E14;Embryonic Stem Cell;Embryo,777.2820419498022
GSM1399515,SUZ12,E14;Embryonic Stem Cell;Embryo,774.6452306229459
ENCSR397RHW_1,CTCF,Liver,767.19668650385
GSM2192997,SUZ12,Embryonic Stem Cell,766.0295042069235
GSM1973715,CTCF,Stromal Cell;Bone Marrow,761.8528501234144
GSM2356584,CBX7,Embryonic Stem Cell,760.7714262770378
GSM2356585,CBX7,Embryonic Stem Cell,759.8204626842851
GSM2224548,RAD21,Progenitor Cells;Bone Marrow,757.7254488221378
GSM1310233,SRF,Cornea,754.4298434796177
GSM1557000,BRD2,T Lymphocyte,752.1118635255721
GSM836458,CTCF,B Lymphocyte;Blood,749.9499086535976
GSM2610619,CBX7,E14Tg2A;Embryonic Stem Cell,748.6784456153764
GSM1341949,EZH2,Embryonic Stem Cell;Embryo,748.5854934940052
GSM2393584,EZH2,Embryonic Stem Cell,747.52500442846
GSM2433038,CTCF,Mammary Gland,746.8293818058509
GSM1132325,CTCF,B Lymphocyte,746.594912111703
GSM1973722,CTCF,Stromal Cell;Bone Marrow,744.5455267101374
GSM2224546,SMC1A,Progenitor Cells;Bone Marrow,742.6751861249398
GSM1341948,EZH2,Embryonic Stem Cell;Embryo,739.9347185965553
GSM2445200,RAD21,Neutrophil cell ,739.1936931819146
GSM1399512,SUZ12,E14;Embryonic Stem Cell;Embryo,733.6825259765191
GSM2740561,RAD21,Liver,733.4355630144396
GSM1341944,SUZ12,Embryonic Stem Cell;Embryo,732.8692623238716
GSM970528,SUZ12,Embryonic Stem Cell;Embryo,732.5453937043766
GSM1151620,SUZ12,Th17;Blood,732.4537002299977
GSM1004840,JMJD6,Th17,725.5282264073938
GSM2149945,KDM4A,Granulocyte Monocyte Progenitor,721.7968020956482
GSM491760,JARID2,Embryonic Stem Cell;Embryo,719.4738002409941
GSM480681,SUZ12,Embryonic Stem Cell;Embryo,718.5657790766057
GSM1466751,EZH2,Embryonic Stem Cell,717.7551144706246
GSM937542,STAG2,V6.5;Embryonic Stem Cell;Embryo,712.3393512225516
GSM307145,SUZ12,V6.5;Embryonic Stem Cell;Embryo,712.2606606826774
ENCSR041SMK_1,CTCF,Liver,711.2276204098433
GSM2319270,CTCF,Rod;Retina,709.9090369312823
GSM824848,RAD21,V6.5;Embryonic Stem Cell;Embryo,709.6331267648463
GSM1561377,POLR2A,Adipose,704.9751161669919
GSM1169019,SUZ12,Embryonic Stem Cell;Embryo,704.292446766105
GSM2192643,SUZ12,Embryonic Stem Cell,702.8789545920504
GSM1132328,CTCF,B Lymphocyte,697.6155856524409
GSM1648481,RAD21,Fibroblast,695.4001331703068
GSM937541,STAG1,V6.5;Embryonic Stem Cell;Embryo,693.9158479188917
GSM2098946,C17orf96,E14Tg2A;Embryonic Stem Cell,693.29432247976
GSM1019771,SUZ12,E14;Embryonic Stem Cell;Embryo,692.9639669074188
GSM1041374,SUZ12,E14;Embryonic Stem Cell;Embryo,692.9639669074188
GSM1973719,CTCF,Stromal Cell;Bone Marrow,692.341789990916
GSM1030543,PPARG,10T1/2;Fibroblast;Embryo,691.3889934559572
GSM918743,CTCF,Embryonic Fibroblast;Embryo,690.3747415273949
GSM723004,CTCF,Fibroblast;Embryo,690.3747415273949
GSM1979728,STAG1,Embryonic Fibroblast,689.5351940941631
GSM2756663,EZH2,E14Tg2A;Embryonic Stem Cell,686.4582260973162
GSM1132322,CTCF,B Lymphocyte,684.6177330212619
GSM1132323,CTCF,B Lymphocyte,680.9598009417107
GSM1620003,CTCF,Th2,680.3935246172821
GSM1399510,SUZ12,E14;Embryonic Stem Cell;Embryo,679.4189760951351
GSM723015,CTCF,Embryonic Stem Cell;Embryo,675.6824971278081
GSM1132357,CTCF,B Lymphocyte,675.2807322856788
GSM1059004,EZH2,Embryonic Stem Cell;Embryo,675.0642736069562
GSM851292,CTCF,Epithelium;Embryonic Limb,674.1196450527984
GSM1648482,RAD21,Fibroblast,672.5515514426561
GSM1310232,SRF,Cornea,672.5459101716166
GSM1902312,SMC3,T Lymphocyte,671.9376779082544
GSM881052,CTCF,Dendritic Cell;Bone Marrow,671.7421348039946
GSM1132330,CTCF,B Lymphocyte,670.3973075103997
GSM2143305,KDM4A,Embryonic Stem Cell,669.1765256636368
GSM2418363,CTCF,DN2;Thymocyte,668.4341534104303
GSM1004804,CTCF,Th17,664.0214641212796
GSM1020006,SMC3,Embryonic Fibroblast;Embryo,662.9560479028281
ENCSR491NUM_1,CTCF,Heart,662.33494098213
GSM851310,CTCF,Olfactory Bulb,661.206174123333
GSM2098950,SUZ12,E14Tg2A;Embryonic Stem Cell,661.1570650464153
GSM918741,CTCF,Epithelium;Limb,658.7960408375733
GSM1979725,STAG1,Embryonic Fibroblast,657.7749675962906
GSM2098959,H3K4me3,E14Tg2A;Embryonic Stem Cell,656.7144667910178
GSM1132358,CTCF,B Lymphocyte,655.8532361608316
GSM1399513,SUZ12,E14;Embryonic Stem Cell;Embryo,655.5677721047125
GSM883647,CTCF,Neural Progenitor Cell;Embryo,655.1344996868743
GSM1132331,CTCF,B Lymphocyte,652.3613896368231
