GSM_ID,Factor,Biosource,GIGGLE_score
GSM1420194,IKZF1,B cell precursor,1211.957499548183
GSM1405407,NR3C1,Monocyte,1178.0397876316174
GSM1420193,IKZF1,B cell precursor,1154.5398458907594
GSM1438990,EP300,Pre-B Lymphocyte,1150.3753873560493
GSM2364550,KMT2A,Spleen,1147.145455455112
GSM1420199,IKZF1,B cell precursor,1142.0333935750477
GSM1438987,TCF7L1,Pre-B Lymphocyte,1140.4189634723596
GSM1420197,IKZF1,B cell precursor,1123.2979441580037
GSM1480742,FUS,TSU-1621-MT,1064.0576584543862
GSM585586,TCF12,Kasumi-1;Myeloblast;Blood,1063.6846420866368
GSM1032075,RUNX1,SEM;Pre-B Lymphocyte,1056.3052330498847
GSM1480743,FUS,TSU-1621-MT,1040.5786739262326
GSM2026052,ERG,Kasumi-1;Acute myeloid leukemia,1001.250209680668
GSM1420198,IKZF1,B cell precursor,997.3607306693746
GSM1480736,ERG,TSU-1621-MT,967.4161134855119
GSM1501164,LMO2,Kasumi-1;Myeloblast;Blood,963.0375627861287
GSM1637309,NR3C1,Nalm6;B cell precursor;Blood,947.180282004612
GSM1534443,NCOR1,Kasumi-1;Myeloblast;Blood,940.080223463616
GSM2026051,FLI1,Kasumi-1;Acute myeloid leukemia,928.365050588787
GSM1901545,LYL1,HL-60;Promyeloblast;Blood,923.7775133496746
GSM722426,TCF7L2,U937;Pleura,917.2680535481747
GSM1113429,RUNX1,Kasumi-1;Myeloblast;Blood,909.2391368922525
GSM1113437,RUNX1,Kasumi-1;Myeloblast;Blood,908.9901517649627
GSM1480744,RUNX1,TSU-1621-MT,855.1318879985256
GSM1420196,IKZF1,B cell precursor,846.5381328481366
GSM1113430,RUNX1T1,Kasumi-1;Myeloblast;Blood,818.741644588189
GSM850823,RUNX1,Kasumi-1;Myeloblast;Blood,818.2465280725444
GSM730703,FOS,Endothelial Cell;Umbilical Vein,816.8425047268455
GSM1501163,CEBPA,Kasumi-1;Myeloblast;Blood,811.8555478730715
GSM1113427,RUNX1,Kasumi-1;Myeloblast;Blood,795.5070739103257
GSM1113428,RUNX1,Kasumi-1;Myeloblast;Blood,791.5188722370427
GSM1113438,RUNX1,Kasumi-1;Myeloblast;Blood,788.7017334417254
GSM1080931,IKZF1,Nalm6;B cell precursor;Blood,760.1085780337393
GSM1485998,DEK,U937;Pleura,749.4711018408673
GSM850824,RUNX1,Kasumi-1;Myeloblast;Blood,744.3981858715034
GSM1438989,PBX1,Pre-B Lymphocyte,739.0227909850761
GSM1501165,LMO2,Kasumi-1;Myeloblast;Blood,728.3395106842614
GSM1841306,NR3C1,RS4;B Lymphocyte,708.8236515549754
GSM2026066,RUNX1,Kasumi-1;Acute myeloid leukemia,708.5198878396184
GSM1581788,RUNX1,Myeloid Cell,706.6560227872659
GSM722708,RUNX1,Myeloblast;Blood,706.6560227872659
GSM1438986,BCL6,Pre-B Lymphocyte,702.256187210364
GSM2026059,EP300,Kasumi-1;Acute myeloid leukemia,700.1536012839827
GSM1595963,RUNX1,Kasumi-1;Myeloblast;Blood,677.7223670875322
GSM2026053,RUNX1,Kasumi-1;Acute myeloid leukemia,671.1848861446136
GSM1901550,LYL1,THP-1;Monocyte;Blood,667.8193664679663
GSM722170,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,657.6358526752226
GSM722169,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,654.5581877485832
GSM1122317,EP300,ME-1;Leukemia Cell,650.3571892216985
GSM2026061,HDAC2,Kasumi-1;Acute myeloid leukemia,648.6636465689755
GSM722402,TCF7L2,Haematopoietic Progenitor Cell;Blood,642.9941111910804
GSM1550646,JMJD1C,Kasumi-1;Myeloblast;Blood,631.3784246310789
GSM1975912,RUNX1,Jurkat;T Lymphocyte;Blood,622.7527058778645
GSM1697879,RUNX1,Jurkat;T Lymphocyte;Blood,622.7527058778645
GSM1603217,POLR2A,Jurkat;T Lymphocyte;Blood,618.6461665780292
GSM1082308,TCF12,Kasumi-1;Myeloblast;Blood,611.1401868138477
GSM1082309,TCF7L1,Kasumi-1;Myeloblast;Blood,610.4317118875265
GSM1113433,REPIN1,Kasumi-1;Myeloblast;Blood,609.5124797067762
GSM1113434,REPIN1,Kasumi-1;Myeloblast;Blood,607.1458078542088
GSM1595964,RUNX1,Kasumi-1;Myeloblast;Blood,597.9666662057027
GSM2405928,CDK9,MV4;11;Acute myeloid leukemia,596.4601729453192
GSM1534442,RUNX1,Kasumi-1;Myeloblast;Blood,592.804769222041
GSM2108044,RUNX1,MV4-11;AML cell,590.7694045178245
GSM1082311,LMO2,Kasumi-1;Myeloblast;Blood,588.4047177294099
GSM1901542,LYL1,Kasumi-1;Myeloblast;Blood,581.7439412399841
GSM863152,FLI1,NB4;Promyelocytic cell;Blood,575.9871913517018
GSM722401,TCF7L2,Haematopoietic Progenitor Cell;Blood,574.6812101449166
GSM730704,FOS,Endothelial Cell;Umbilical Vein,573.7642179805684
GSM749524,EP300,NB4;Promyelocytic cell;Blood,573.6450532895959
GSM1480745,LMO2,TSU-1621-MT,570.7518261300141
GSM1595965,RUNX1T1,Kasumi-1;Myeloblast;Blood,565.7271824860704
GSM2179743,RUNX1,NB4;Leukemic cells,554.2536550391941
GSM585588,RUNX1T1,Kasumi-1;Myeloblast;Blood,551.8928187935456
GSM1901549,JMJD1C,THP-1;Monocyte;Blood,551.5379128140899
GSM2394416,JUNB,JHU-06;Endothelial Cell,547.3814006209103
GSM957611,TCF12,RPMI-8402;T cell leukemia;Blood,546.7940454105936
GSM449526,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,538.8401344224839
GSM2026060,HDAC1,Kasumi-1;Acute myeloid leukemia,529.6811050435775
GSM468212,RARA,UPR9;Promyelocytic cell;Bone Marrow,524.03033621944
GSM1480748,TAL1,TSU-1621-MT,523.9037823078204
GSM1534441,RUNX1,Kasumi-1;Myeloblast;Blood,523.7486233747032
GSM935585,FOS,Endothelial Cell;Umbilical Vein,522.7136554701809
GSM2090921,BRD4,MOLT-4;T Lymphoblast,522.1273085134736
GSM722425,SMAD1,U937;Pleura,519.5069205359115
GSM1637306,NR3C1,Nalm6;B cell precursor;Blood,503.7543436277886
GSM935278,JUN,Endothelial Cell;Umbilical Vein,496.6918542411714
GSM2871154,RUNX1,HL-60;Acute myeloid leukemia,493.5913310068914
GSM2394414,JUN,JHU-06;Endothelial Cell,493.3291725709691
GSM790211,FLI1,Endothelial Cell;Umbilical Vein,490.6658226377183
GSM1010737,POLR2A,HL-60;Promyeloblast;Blood,487.8911519701613
GSM2108052,RUNX1,THP-1;AML cell,480.5897654871025
GSM1480738,SPI1,TSU-1621-MT,478.98464930092337
GSM1901547,JMJD1C,NB4;Promyelocytic cell;Blood,478.55864429756446
GSM2090923,CDK9,MOLT-4;T Lymphoblast,478.05208413403574
GSM2326836,RUNX1,SKH1;SKH-1 cells,472.34703929564733
GSM1844446,KDM1A,Kasumi-1;Myeloblast;Blood,470.5692348779865
GSM1632640,RUNX1,U937;Pleura,470.09942455912096
GSM1480747,LYL1,TSU-1621-MT,469.9716612401646
GSM1901544,JMJD1C,HL-60;Promyeloblast;Blood,464.5867925781965
GSM1519646,TAL1,MOLT-3;T Lymphoblast;Peripheral Blood,460.3653589349601
GSM1637307,NR3C1,Nalm6;B cell precursor;Blood,455.9763451486688
GSM790209,FLI1,Endothelial Cell;Umbilical Vein,449.95129914012637
GSM1893928,CDK8,MOLM-14;Myeloid Cell,436.2699724495951
GSM525268,CREBBP,T98G;Brain,435.917107029134
GSM1893926,CDK8,MOLM-14;Myeloid Cell,435.48709467360237
GSM722706,RUNX1,Kasumi-1;Myeloblast;Blood,432.5910945096198
GSM1240109,KMT2B,HCT-116;Colon,430.9619197817659
GSM722705,RUNX1,Kasumi-1;Myeloblast;Blood,426.80522418654914
GSM2090926,CDK9,MOLT-4;T Lymphoblast,425.57150700212514
GSM1603216,POLR2A,Jurkat;T Lymphocyte;Blood,425.5304133462117
GSM1122318,HDAC1,ME-1;Leukemia Cell,421.2802015827558
GSM957607,TCF7L1,RPMI-8402;T cell leukemia;Blood,416.3182424881369
ENCSR274WRI_2,FOSL2,A549;Epithelium;Lung,413.9676796692551
GSM710611,TAL1,Haematopoietic Progenitor Cell;Blood,409.0093973154417
GSM1535700,TCF4,HCT-116;Colon,392.9506641146135
GSM2635310,FOSL1,143B;Osteosarcoma cell,392.19001529213614
GSM624142,RXRA,THP-1;Monocyte;Blood,391.68468903321434
GSM2635308,FOSL1,MNNG;Osteosarcoma cell,391.39164241246885
GSM2394415,JUN,JHU-06;Endothelial Cell,389.96588646619864
GSM1442005,MYB,Jurkat;T Lymphocyte;Blood,388.41247867900995
GSM2150334,RUNX1,Kasumi-1;Myeloblast;Blood,383.1338205221076
GSM2576178,JUN,JHU-06;Endothelial Cell,381.2626683179911
GSM2212243,PAF1,SEM;B Lymphocyte,380.74652686191405
GSM2635314,FOSL1,MG-63;Osteosarcoma cell,380.0007559446525
GSM2326842,CEBPA,SKH1;SKH-1 cells,378.56827435752945
GSM2405924,CDK9,MV4;11;Acute myeloid leukemia,377.9583216600565
GSM449527,CREBBP,Jurkat E6-1;T Lymphocyte;Blood,374.96018367668654
GSM1535697,TCF4,HCT-116;Colon,371.46487508484046
GSM2212239,MED1,SEM;B Lymphocyte,371.34399576191703
GSM1970177,MED12,Progenitor Cells,371.22397070515024
ENCSR900RUE_3,FOSL2,A549;Epithelium;Lung,370.8396243442283
ENCSR775UFR_2,FOSL2,A549;Epithelium;Lung,367.852558812299
GSM2550237,EP300,Cardiac Progenitor Cells;Heart,366.1939762256692
ENCSR775UFR_1,FOSL2,A549;Epithelium;Lung,364.893061245
GSM2550195,EP300,Progenitor Cells,364.5432275491328
GSM1603222,POLR2A,Jurkat;T Lymphocyte;Blood,362.7580489834671
GSM1831050,EP300,Endothelial Cell;Umbilical Vein,362.7496908253068
ENCSR111ZXV_2,FOSL2,A549;Epithelium;Lung,362.6264869439303
GSM1581344,KDM6A,Jurkat;cells line,362.6104149108918
GSM2150335,RUNX1,Kasumi-1;Myeloblast;Blood,360.0938370150532
GSM1240110,EP300,HCT-116;Colon,358.3176194178037
GSM2501565,FOSL1,MDA-MB-231;Breast,357.93154916032165
ENCSR593DGU_2,FOSL2,A549;Epithelium;Lung,356.16856967618094
GSM738817,ETV4,PC-3;Epithelium;Prostate,351.1623026900997
GSM1970176,MED12,Progenitor Cells,351.06542601051837
ENCSR330IJE_1,FOSL2,A549;Epithelium;Lung,350.8173603454257
GSM2550244,EP300,Endothelial Cell,350.19580930124977
GSM957614,TAL1,RPMI-8402;T cell leukemia;Blood,347.5650650296001
GSM957612,TAL1,RPMI-8402;T cell leukemia;Blood,346.0518426757471
GSM2947310,ZBTB16,KG1;Bone Marrow,345.3684854941878
GSM1045363,RUNX1,Jurkat;T Lymphocyte;Blood,344.9620505825027
GSM1901548,LYL1,NB4;Promyelocytic cell;Blood,343.51134078293154
ENCSR563GCV_3,FOSL2,A549;Epithelium;Lung,339.78723866495466
GSM1010840,FOSL2,SK-N-SH;Neuroblastoma cell;Brain,337.9573006395668
GSM525269,CREBBP,T98G;Brain,337.14652424261084
GSM971334,EP300,Hematopoietic Stem Cell;Blood,336.6896241480905
GSM1535703,TCF4,HCT-116;Colon,335.410628947598
GSM1535699,TCF4,HCT-116;Colon,330.60723315636983
GSM957610,TCF12,RPMI-8402;T cell leukemia;Blood,329.82774961757326
ENCSR103UVU_2,FOSL2,A549;Epithelium;Lung,328.5433700569595
GSM1010834,MEF2A,SK-N-SH;Neuroblastoma cell;Brain,327.9957606296833
ENCSR686HIU_1,FOSL2,A549;Epithelium;Lung,325.7471240390892
