GSM_ID,Factor,Biosource,GIGGLE_score
GSM1032075,RUNX1,SEM;Pre-B Lymphocyte,1274.720563375987
GSM1438987,TCF7L1,Pre-B Lymphocyte,1188.1569021160012
GSM1438990,EP300,Pre-B Lymphocyte,934.9254389484136
GSM1438989,PBX1,Pre-B Lymphocyte,610.0461567676626
GSM722170,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,589.8369853781834
GSM722708,RUNX1,Myeloblast;Blood,526.14001346139
GSM1581788,RUNX1,Myeloid Cell,526.14001346139
GSM722169,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,483.6351070851282
GSM1697879,RUNX1,Jurkat;T Lymphocyte;Blood,477.29075018666833
GSM1975912,RUNX1,Jurkat;T Lymphocyte;Blood,477.29075018666833
GSM449526,RUNX1,Jurkat E6-1;T Lymphocyte;Blood,456.5813472274928
GSM1637309,NR3C1,Nalm6;B cell precursor;Blood,450.38885464890257
GSM2212239,MED1,SEM;B Lymphocyte,421.9275245432873
GSM614003,TAL1,Jurkat;T Lymphocyte;Blood,421.420975355327
GSM722165,TAL1,Jurkat E6-1;T Lymphocyte;Blood,419.78155024054064
GSM1438986,BCL6,Pre-B Lymphocyte,418.31218453776916
GSM722166,TCF12,Jurkat E6-1;T Lymphocyte;Blood,411.36824038511594
GSM449527,CREBBP,Jurkat E6-1;T Lymphocyte;Blood,406.14295630211234
GSM1603217,POLR2A,Jurkat;T Lymphocyte;Blood,403.9751287151981
GSM1603216,POLR2A,Jurkat;T Lymphocyte;Blood,401.4471218109663
GSM1841306,NR3C1,RS4;B Lymphocyte,393.77914370160414
GSM1080931,IKZF1,Nalm6;B cell precursor;Blood,392.24741028192426
GSM957610,TCF12,RPMI-8402;T cell leukemia;Blood,390.1809163862195
GSM837996,TAL1,CCRF-CEM;T Lymphocyte;Blood,385.2190163214354
GSM940322,MEIS1,SEM;Pre-B Lymphocyte,371.6270017807023
GSM2364550,KMT2A,Spleen,367.75678643861687
GSM1113428,RUNX1,Kasumi-1;Myeloblast;Blood,362.2797345906643
GSM957607,TCF7L1,RPMI-8402;T cell leukemia;Blood,358.5679618368253
GSM957606,TCF7L1,RPMI-8402;T cell leukemia;Blood,355.7035562849262
GSM1082308,TCF12,Kasumi-1;Myeloblast;Blood,347.65358823733214
GSM1603222,POLR2A,Jurkat;T Lymphocyte;Blood,338.15535499831935
GSM1603221,POLR2A,Jurkat;T Lymphocyte;Blood,336.99745321446017
GSM2090921,BRD4,MOLT-4;T Lymphoblast,335.7509933765854
GSM2090926,CDK9,MOLT-4;T Lymphoblast,333.7183582305981
GSM837997,TAL1,CCRF-CEM;T Lymphocyte;Blood,332.1619800923574
GSM1082309,TCF7L1,Kasumi-1;Myeloblast;Blood,327.6546452861061
GSM1045363,RUNX1,Jurkat;T Lymphocyte;Blood,315.267685446758
GSM1975020,TCF4,Gen2.2;Plasmacytoid dendritic cell,312.61583199919494
GSM2041109,CBFB,Saos-2;Osteosarcoma cell,311.6695598099964
GSM2466687,MYB,PF382;Blood,306.7311922225232
GSM2212243,PAF1,SEM;B Lymphocyte,303.71416856256724
GSM2026052,ERG,Kasumi-1;Acute myeloid leukemia,303.0085866375042
GSM2026066,RUNX1,Kasumi-1;Acute myeloid leukemia,301.5084098745374
GSM1113429,RUNX1,Kasumi-1;Myeloblast;Blood,300.6365285628524
GSM1637307,NR3C1,Nalm6;B cell precursor;Blood,300.1982138541286
GSM957611,TCF12,RPMI-8402;T cell leukemia;Blood,295.6287458802373
GSM803386,EBF1,GM12878;B Lymphocyte;Blood,294.3815001682186
GSM957609,GATA3,RPMI-8402;T cell leukemia;Blood,291.0643032927716
GSM2570506,ARID5B,Jurkat;T Lymphocyte;Blood,290.24331014996847
GSM585586,TCF12,Kasumi-1;Myeloblast;Blood,287.71918476199164
GSM1534442,RUNX1,Kasumi-1;Myeloblast;Blood,284.8150768984
