GSM_ID,Factor,Biosource,GIGGLE_score
GSM2356332,CD74,B Lymphocyte,1297.167422625332
GSM2356326,CD74,B Lymphocyte,1290.053482296996
GSM486307,RELA,GM18951;Lymphoblastoid;Blood,1288.6110089398535
GSM486311,RELA,GM18526;Lymphoblastoid;Blood,1286.4154494747793
GSM2356333,CD74,B Lymphocyte,1282.8882798722468
GSM2356335,CD74,B Lymphocyte,1279.3331204181309
GSM2356330,CD74,B Lymphocyte,1269.9201132355893
GSM486302,RELA,GM10847;Lymphoblastoid;Blood,1258.573883410854
GSM1333967,SPI1,GM12878;B Lymphocyte;Blood,1257.41267432054
GSM486271,RELA,GM19193;Lymphoblastoid;Blood,1256.6593641015684
GSM486300,RELA,GM10847;Lymphoblastoid;Blood,1253.9972789261176
GSM486319,RELA,GM12878;B Lymphocyte;Blood,1248.3015207820315
GSM1668936,FOXO1,B Lymphocyte;Tonsil,1246.2713221325507
GSM486281,RELA,GM19099;Lymphoblastoid;Blood,1245.327244816216
GSM486301,RELA,GM10847;Lymphoblastoid;Blood,1244.4621525591706
GSM1668935,FOXO1,B Lymphocyte;Tonsil,1241.9267214361512
GSM486305,RELA,GM18951;Lymphoblastoid;Blood,1239.40133680552
GSM935281,RELA,GM18526;Lymphoblastoid;Blood,1239.2986875092254
GSM486318,RELA,GM12878;B Lymphocyte;Blood,1234.4628884480835
GSM1370279,IRF4,OCI-Ly10;B Lymphocyte;Bone Marrow,1234.1501052492588
GSM486274,RELA,GM18505;Lymphoblastoid;Blood,1233.8069459720155
GSM1703917,EP300,B Lymphocyte,1229.017232054422
GSM722397,SMAD1,Proerythroblast;Blood,1225.1339264045987
GSM486282,RELA,GM19099;Lymphoblastoid;Blood,1224.9330695569133
GSM722398,SMAD1,Proerythroblast;Blood,1224.8809564473356
GSM908054,TAL1,Proerythroblast;Fetal Liver,1224.5700298978293
GSM486269,RELA,GM19193;Lymphoblastoid;Blood,1224.46974607917
GSM614004,TAL1,Proerythroblast;Bone Marrow,1220.8528724092055
