GSM_ID,Factor,Biosource,GIGGLE_score
GSM1961561,RELA,Th1,1422.9441023122613
GSM1239997,RELA,AC16;Cardiomyocyte,1418.218544246501
GSM2394422,RELA,JHU-06;Endothelial Cell,1409.7494504772815
GSM486305,RELA,GM18951;Lymphoblastoid;Blood,1384.6437602188291
GSM486300,RELA,GM10847;Lymphoblastoid;Blood,1381.8746091816024
GSM1556333,RELB,L1236;Hodgkin Lymphoma Cell,1373.9775849740292
GSM486288,RELA,GM15510;Lymphoblastoid;Blood,1361.3570240351257
GSM486301,RELA,GM10847;Lymphoblastoid;Blood,1360.6711561416687
GSM486311,RELA,GM18526;Lymphoblastoid;Blood,1360.2526961662952
GSM486308,RELA,GM18951;Lymphoblastoid;Blood,1360.1736709463746
GSM486281,RELA,GM19099;Lymphoblastoid;Blood,1359.722554774693
GSM486294,RELA,GM12892;Lymphoblastoid;Blood,1358.2956798241514
GSM2394423,RELA,JHU-06;Endothelial Cell,1352.4113617074229
GSM486283,RELA,GM19099;Lymphoblastoid;Blood,1349.8415872965554
GSM486269,RELA,GM19193;Lymphoblastoid;Blood,1347.2984853548642
GSM486295,RELA,GM12892;Lymphoblastoid;Blood,1346.356917857305
GSM486278,RELA,GM18505;Lymphoblastoid;Blood,1346.0103877084705
GSM486271,RELA,GM19193;Lymphoblastoid;Blood,1345.9594076702238
GSM486276,RELA,GM18505;Lymphoblastoid;Blood,1345.0749450302544
GSM2628088,RELA,GM12878;Lymphoblastoid,1343.1237648574636
GSM2394424,RELA,JHU-06;Endothelial Cell,1340.7579495737566
GSM486319,RELA,GM12878;B Lymphocyte;Blood,1337.9927782361772
GSM486302,RELA,GM10847;Lymphoblastoid;Blood,1336.3439619569733
GSM486317,RELA,GM12878;B Lymphocyte;Blood,1334.5575132403642
GSM2394421,RELA,JHU-06;Endothelial Cell,1331.1052344831344
GSM2103051,RELA,BEAS-2B;Epithelium;Lung,1314.430571799503
GSM486274,RELA,GM18505;Lymphoblastoid;Blood,1302.780528729363
GSM1239998,RELA,AC16;Cardiomyocyte,1257.9335634863319
GSM486293,RELA,GM12892;Lymphoblastoid;Blood,1252.24493752813
GSM935282,RELA,GM18505;Lymphoblastoid;Blood,1251.5700649307207
GSM486270,RELA,GM19193;Lymphoblastoid;Blood,1240.9792438018876
GSM935281,RELA,GM18526;Lymphoblastoid;Blood,1235.4101443887535
GSM486318,RELA,GM12878;B Lymphocyte;Blood,1234.4008338701844
GSM935273,RELA,GM19099;Lymphoblastoid;Blood,1233.7839030197192
GSM1556334,RELB,L1236;Hodgkin Lymphoma Cell,1230.7629790018816
GSM935527,RELA,GM10847;Lymphoblastoid;Blood,1229.3682438204207
GSM486282,RELA,GM19099;Lymphoblastoid;Blood,1227.2378971204218
GSM486307,RELA,GM18951;Lymphoblastoid;Blood,1210.522772749299
GSM486316,RELA,GM12878;B Lymphocyte;Blood,1194.7766680776135
GSM2103047,RELA,BEAS-2B;Epithelium;Lung,1191.8967144231594
GSM486313,RELA,GM18526;Lymphoblastoid;Blood,1191.4215283397348
GSM935279,RELA,GM19193;Lymphoblastoid;Blood,1185.8459963539292
GSM935478,RELA,GM12878;B Lymphocyte;Blood,1182.8202480178625
GSM2628090,RELB,GM12878;Lymphoblastoid,1174.4812106351496
GSM486323,RELA,GM12891;Lymphoblastoid;Blood,1173.7918368083776
GSM604655,RELA,HeLa;Epithelium;Cervix,1170.2269547031185
GSM486306,RELA,GM18951;Lymphoblastoid;Blood,1163.1700694133594
GSM2746542,RELA,SW480;Colon,1160.7029893197368
GSM604658,RELA,HeLa;Epithelium;Cervix,1151.3957332350433
GSM935531,RELA,GM18951;Lymphoblastoid;Blood,1151.2479960207875
GSM2419823,RELA,Detroit 562;Detroit 562 cells,1149.4872658286213
GSM604659,RELA,HeLa;Epithelium;Cervix,1143.8639527708344
GSM486289,RELA,GM15510;Lymphoblastoid;Blood,1120.766553030494
GSM935285,RELA,GM12892;Lymphoblastoid;Blood,1113.1038805112153
GSM486275,RELA,GM18505;Lymphoblastoid;Blood,1110.3927074312332
GSM486286,RELA,GM15510;Lymphoblastoid;Blood,1104.0439548937711
GSM1154044,RELA,Endothelial Cell;Umbilical Vein,1083.2446489855163
GSM486277,RELA,GM18505;Lymphoblastoid;Blood,1057.7227108333898
GSM1055810,RELA,IMR90;Fibroblast;Lung,1051.8117485421049
GSM1556331,RELA,L1236;Hodgkin Lymphoma Cell,1048.9546814242096
GSM486298,RELA,GM10847;Lymphoblastoid;Blood,1038.680047544349
GSM847876,RELA,A549;Epithelium;Lung,1021.6542076676046
GSM486324,RELA,GM12891;Lymphoblastoid;Blood,1019.4714471442024
GSM486299,RELA,GM10847;Lymphoblastoid;Blood,1003.4053642303993
GSM2574797,ZNF597,GM12878;B Lymphocyte;Blood,994.3833981208247
GSM2419831,RELA,Detroit 562;Detroit 562 cells,991.4735897071544
GSM2103048,RELA,BEAS-2B;Epithelium;Lung,990.9146927821727
GSM850307,RELA,Endothelial Cell;Umbilical Vein,956.6487575953903
GSM1305212,RELA,Endothelial Cell;Umbilical Vein,929.4939875576462
GSM847877,RELA,A549;Epithelium;Lung,927.3596534796403
GSM486322,RELA,GM12891;Lymphoblastoid;Blood,916.9962546534755
GSM1305211,RELA,Endothelial Cell;Umbilical Vein,903.2578335992475
GSM2679938,T,Monocyte;Blood,879.3112862961684
GSM2628091,RELB,GM12878;Lymphoblastoid,877.6476765312495
GSM2695654,RXRG,Macrophage;Blood,867.850989598673
GSM935529,RELA,GM15510;Lymphoblastoid;Blood,846.8787183093567
GSM935526,RELA,GM12891;Lymphoblastoid;Blood,836.637950443812
GSM486287,RELA,GM15510;Lymphoblastoid;Blood,827.3431739299212
GSM1643963,RELA,MCF-7;Breast,808.4715125372056
