GSM_ID,Factor,Biosource,GIGGLE_score
GSM1239997,RELA,AC16;Cardiomyocyte,1463.5381489866948
GSM2103051,RELA,BEAS-2B;Epithelium;Lung,1392.5995224389471
GSM2394422,RELA,JHU-06;Endothelial Cell,1375.167105848414
GSM2394421,RELA,JHU-06;Endothelial Cell,1352.2367231731587
GSM2394423,RELA,JHU-06;Endothelial Cell,1343.138361409558
GSM1961561,RELA,Th1,1339.01866660573
GSM385504,STAT1,HeLa-S3;Epithelium;Cervix,1333.0238990368055
GSM1239998,RELA,AC16;Cardiomyocyte,1327.3461158023392
GSM385503,STAT1,HeLa-S3;Epithelium;Cervix,1321.8772315204694
GSM2103047,RELA,BEAS-2B;Epithelium;Lung,1314.5767060520564
GSM385505,STAT1,HeLa-S3;Epithelium;Cervix,1308.8490022799538
GSM847876,RELA,A549;Epithelium;Lung,1305.3339921489967
GSM385508,STAT1,HeLa-S3;Epithelium;Cervix,1295.9262068430369
GSM385506,STAT1,HeLa-S3;Epithelium;Cervix,1295.2646245671808
GSM1556333,RELB,L1236;Hodgkin Lymphoma Cell,1294.608621864031
GSM2394424,RELA,JHU-06;Endothelial Cell,1290.412073050232
GSM1154044,RELA,Endothelial Cell;Umbilical Vein,1288.6931507628876
GSM486300,RELA,GM10847;Lymphoblastoid;Blood,1284.5619614662055
GSM2103048,RELA,BEAS-2B;Epithelium;Lung,1284.4327436367944
GSM847877,RELA,A549;Epithelium;Lung,1283.0286539003225
GSM935487,STAT1,K562;Erythroblast;Bone Marrow,1278.8558578893312
GSM604659,RELA,HeLa;Epithelium;Cervix,1277.6899758699988
GSM385507,STAT1,HeLa-S3;Epithelium;Cervix,1276.6467010517015
GSM525268,CREBBP,T98G;Brain,1276.2291667120994
GSM2576177,JUN,JHU-06;Endothelial Cell,1274.8387391845356
GSM604658,RELA,HeLa;Epithelium;Cervix,1272.2385027359426
GSM604655,RELA,HeLa;Epithelium;Cervix,1263.7349787897451
GSM486305,RELA,GM18951;Lymphoblastoid;Blood,1262.8005766894878
GSM2746542,RELA,SW480;Colon,1255.2158059029919
GSM2419823,RELA,Detroit 562;Detroit 562 cells,1252.3699882653855
GSM486301,RELA,GM10847;Lymphoblastoid;Blood,1248.3427279537073
GSM850307,RELA,Endothelial Cell;Umbilical Vein,1247.9887249047565
GSM1305212,RELA,Endothelial Cell;Umbilical Vein,1247.0118058533967
GSM486311,RELA,GM18526;Lymphoblastoid;Blood,1246.0331345119646
GSM486288,RELA,GM15510;Lymphoblastoid;Blood,1245.7549121834895
GSM1690576,STAT5,MV4-11;Macrophage;Blood,1243.3333732828094
GSM2576178,JUN,JHU-06;Endothelial Cell,1240.4507936757025
GSM486294,RELA,GM12892;Lymphoblastoid;Blood,1240.1514676371175
GSM486308,RELA,GM18951;Lymphoblastoid;Blood,1239.0917079366286
