GSM_ID,Factor,Biosource,GIGGLE_score
GSM2359982,SPI1,THP-1;Monocyte;Blood,1005.6009585451455
GSM1901550,LYL1,THP-1;Monocyte;Blood,985.3312005489273
GSM2359983,SPI1,THP-1;Monocyte;Blood,831.551298886136
GSM624143,SPI1,THP-1;Monocyte;Blood,709.1498110800447
GSM785501,SPI1,Macrophage,645.3037969984334
GSM2359986,SPI1,THP-1;Monocyte;Blood,614.3456727599272
GSM2359984,SPI1,THP-1;Monocyte;Blood,607.1235195140576
GSM2359985,SPI1,THP-1;Monocyte;Blood,606.1198105657936
GSM785495,SPI1,Monocyte,590.0652147922327
GSM1557623,SPI1,TSU-1621-MT,573.015392684425
GSM722425,SMAD1,U937;Pleura,535.7574045387041
GSM1501167,RUNX1,Kasumi-1;Myeloblast;Blood,515.890773967358
GSM1816089,SPI1,Hematopoietic stem and progenitor cell;Fetal Liver,513.3534454025611
GSM1681426,SPI1,Macrophage;Blood,512.6634780454519
GSM2592807,SPI1,Macrophage;Blood,509.0962380837442
GSM2592810,SPI1,Macrophage;Blood,508.80112186458524
GSM1501166,SPI1,Kasumi-1;Myeloblast;Blood,507.2538569201578
GSM2405928,CDK9,MV4;11;Acute myeloid leukemia,505.1659755511609
GSM2359987,SPI1,THP-1;Monocyte;Blood,489.8209703103809
GSM1841298,SPI1,RS4;B Lymphocyte,486.5023290840965
GSM1841308,SPI1,RS4;B Lymphocyte,481.2395084226131
GSM1816090,SPI1,Hematopoietic stem and progenitor cell;Bone Marrow,440.36380889157783
GSM1681424,SPI1,Macrophage;Blood,436.7666350294942
GSM1421019,SPI1,Monocyte,427.79893377943887
GSM2804465,SPI1,Monocyte;Blood,416.1404700295844
GSM1010843,SPI1,HL-60;Promyeloblast;Blood,410.06010504284103
GSM2108052,RUNX1,THP-1;AML cell,409.3334439391708
GSM2695653,SPI1,Macrophage;Blood,407.3746484771026
GSM1534442,RUNX1,Kasumi-1;Myeloblast;Blood,400.3342511059769
GSM585586,TCF12,Kasumi-1;Myeloblast;Blood,392.547010935287
GSM1370281,SPIB,OCI-Ly10;B Lymphocyte;Bone Marrow,386.67546731607996
GSM638311,SPI1,Haematopoietic Progenitor Cell;Cord blood,385.2346104792032
GSM1421017,SPI1,Monocyte,384.97954455733077
GSM722426,TCF7L2,U937;Pleura,380.13674527901765
GSM1703922,SPI1,B Lymphocyte,372.6572011412844
GSM2695652,SPI1,Macrophage;Blood,368.0659914549682
GSM1370284,SPI1,H929;B Lymphocyte;Bone Marrow,366.97750564525603
GSM1485998,DEK,U937;Pleura,364.2638053405808
GSM1681423,SPI1,Macrophage;Blood,356.8100330795749
GSM1703900,SPI1,B Lymphocyte,351.4940383983574
GSM1113427,RUNX1,Kasumi-1;Myeloblast;Blood,351.29923548270835
GSM1333967,SPI1,GM12878;B Lymphocyte;Blood,348.4804518478595
GSM2405924,CDK9,MV4;11;Acute myeloid leukemia,347.2970893092234
GSM638310,SPI1,Haematopoietic Progenitor Cell;Cord blood,339.13908877874707
GSM1370279,IRF4,OCI-Ly10;B Lymphocyte;Bone Marrow,336.0058676200713
GSM863152,FLI1,NB4;Promyelocytic cell;Blood,332.1449778681814
GSM2108045,MLL-AF9,THP-1;AML cell,329.32909853789073
GSM1334006,SPI1,GM12878;B Lymphocyte;Blood,325.92129928568033
