hgnc	THP1_macrophages_0000min	THP1_macrophages_0030min	THP1_macrophages_0060min	THP1_macrophages_0090min	THP1_macrophages_0120min	THP1_macrophages_0240min	THP1_macrophages_0360min	THP1_macrophages_1440min
TSPAN6	2.0135117847479975	1.9959372437919858	1.9263268383001662	1.962797456679105	1.8323334931976851	2.3743010265193067	2.2995219998953518	2.421918055255616
TNMD	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.293278020006689	-4.55119625979765	-4.034296399799748	-2.16991425308663	-1.050399235973005
DPM1	5.214125715835104	5.2400705324145624	5.257107807462531	5.401224732829098	5.476116953742738	5.252959273270514	5.110003931264975	5.108438622264069
SCYL3	3.836834577898691	3.7497881355175964	3.914635048324473	4.139900512705335	4.506004353181989	5.68453392942075	5.360551094714431	5.2060498091794205
C1orf112	4.811412664625379	4.765831631255683	4.785802817361143	4.76109369091858	4.640941005347281	4.686038523056615	4.78236809887343	3.1595599369262928
FGR	3.2859706667351425	3.46766554016502	3.5725481730473865	3.83189551697231	4.423600503290908	5.389767617666505	5.719573620265885	5.087521714372026
CFH	-1.0894044614507832	-0.0888428889863701	1.5315239965741796	2.880988276694982	3.946683199784273	6.705203329440667	7.462908584385513	8.8356053571506
FUCA2	7.165170506447522	7.120267924619949	7.13012083883291	7.1532640875231674	7.172612210810215	7.126970371466278	6.947614190888752	6.939947046708118
GCLC	6.921531455798812	6.95268288274179	6.688691869196524	6.246025096548108	5.413085861455535	4.92926170525924	6.640734029175473	7.942737679502743
NFYA	6.439346246149937	6.26815304609782	6.230117414426737	6.325235748918161	6.464329852974453	6.966459150360001	6.646618341918142	6.6551768292540245
STPG1	2.2885493160957164	2.3751492419559392	2.5751562329426436	2.6188760667985624	2.9228683180403072	3.8439245448985124	3.1970065054962102	1.973963722135799
NIPAL3	5.301939262957241	5.411992593009174	5.366628957923201	5.397346042427186	5.506331441333454	6.005865377275056	5.7564602789569825	4.790666100803808
LAS1L	5.8398714597054155	5.884232262246544	5.9439321168203545	6.057933388497856	6.061769535119703	5.670369200120719	5.501053002952958	4.313505139784648
ENPP4	4.303369021864558	4.2454456748737766	4.350442805616523	4.437640487094113	4.5890990034769334	5.542437308276689	5.935560763188187	5.9054004791702175
SEMA3F	2.0203880625160355	2.262232394708594	2.0804213368818876	1.7499274419228785	1.5920320091288596	1.0128699150729799	0.6395540515421207	0.5907646108528879
CFTR	-4.308332239710236	-4.272272353668981	-4.2723250389197736	-4.55119625979765	-4.55119625979765	-4.247404558736518	-4.551196259797647	-4.551196259797647
ANKIB1	5.522226991727326	5.506159126851005	5.534236589885076	5.570782908343041	5.427633421681538	6.2773086637979985	6.934437290118952	6.870151840885297
CYP51A1	6.335141558673378	6.328504208150234	6.370839351458669	6.512173971023461	6.547970649258149	6.165449463558186	5.529390766955853	6.815519057964816
KRIT1	5.240491282095629	5.068572078483896	5.112867801765107	5.1922439216775285	5.161070164556597	5.453868852750061	5.501912729338137	5.268304544125811
RAD52	1.9292219485387898	1.7695311973532326	1.6742380388013571	1.5064327952286634	1.3770781836545865	1.735764437189157	1.8303911524848058	1.7566989257589753
BAD	3.8195789220100496	3.926178013713262	3.9645403720110686	3.755391231061833	3.765867401134589	3.327165388101192	3.1153115818083217	3.0617855546989
LAP3	6.867077286808194	7.037910076379579	7.662013922232765	8.200054983372791	8.677502265407956	9.839125732535726	10.219869808872094	10.20912836612513
CD99	5.9658581484587065	5.942498327676805	5.90118948622965	6.053352604400597	6.079253457178614	6.098298500334947	6.108549063236659	5.517514443896129
HS3ST1	0.5364378838424555	0.6392248021401933	0.5817976591260232	0.0061281358433604854	0.01911087426736255	0.30713983432963754	0.5777894201941928	1.8788873972429085
AOC1	5.3372162160820045	5.623046575085452	5.4889193740152855	5.505282934177136	5.634887167646816	5.632606694073585	5.705799852928987	7.392827899554147
WNT16	-3.4989380941360495	-3.4403893408863597	-4.013786176939392	-3.314063322876121	-3.486786186681721	-2.6350176920243413	-2.8677274208294623	-2.519716086727111
HECW1	0.28663336478112916	0.7326351257608077	0.7080862607582818	0.8831312938569965	1.534981448936613	1.9197309298520024	2.1418164779851945	1.538028013639169
MAD1L1	5.117876649063518	5.265670476181663	5.289972726631657	5.254767368980259	5.13694999459968	4.529061162586904	4.356240318276253	4.69854530636171
LASP1	8.156155247482623	8.182910136942333	8.070674621131634	7.970269005260841	7.857102717308101	7.199728435098664	7.309943801433574	8.574373514459726
SNX11	5.375212167761953	5.267860680963095	5.28002129775844	5.58805345043496	6.0536825849465625	5.856037468516342	6.074555371004265	6.9211339421532685
TMEM176A	0.3060595636049761	0.6562707758693508	0.8075400834666886	0.778598302346175	1.1761787297599238	2.220481507933684	2.9252662000839837	5.437300180357715
M6PR	7.509652158438952	7.515633920630261	7.516407245242515	7.596603828179054	7.605433574180546	7.400721916183132	7.410501984279994	7.992833384046234
KLHL13	-0.16039370455999624	0.2520788060809143	0.3649864489936629	0.5943460134853761	0.2919101846878853	-1.5636706692591913	-1.6657692624464349	-2.473765599845759
CYP26B1	-2.5938407597459743	-2.4530058514610094	-2.377759317730888	-1.574311244087115	-1.069389920202465	-1.4986804498621127	-2.1050082289531433	-3.906916970586659
ICA1	3.720899653113282	3.8008145891309955	3.748287627278855	3.7386619341952967	3.702686316747622	3.06621988396814	3.0110813179629226	2.98507540872518
DBNDD1	1.059607204595943	1.1103911050693644	1.0741180767121419	0.9999438361793074	0.9845274000530648	0.6904854763204555	0.32609089377346834	-0.15091140375508125
ALS2	4.345202111798356	4.2407781220927605	4.207291083250043	4.137263609767064	3.8287642927912247	4.163105323501741	4.333520504364515	5.139575807069469
CASP10	4.272619837141953	4.394236088439406	4.6841950176588565	5.140693244718211	5.554864839406388	6.959606470904554	6.7777885418381505	6.40468538278923
CFLAR	7.198679987398847	7.271603027403617	7.551656758186919	8.07090251087293	8.724554513625618	9.32288171604121	9.227252579750001	9.566853429805166
TFPI	0.9012771024293532	0.8033612793151685	0.7707046663658688	0.6852480434062729	0.9199829807329132	0.9334862730055745	1.4445728555884003	2.736899114660476
NDUFAF7	2.845871378219667	2.7779704499877926	2.584394614517518	2.579204315935092	2.4202411610119876	2.6092450505119995	2.557813052230692	2.8096644781992755
RBM5	6.256534889313148	6.226638859253432	6.1675319406393765	6.208721447040163	6.283343179073935	6.6973769809482295	6.635448485647035	6.715235645476334
MTMR7	2.099010395064457	2.2076394949842753	2.1221150211405275	1.9876787500305855	1.7982084899305775	1.8807105704595912	1.990071371418329	1.7817974781146417
SLC7A2	2.6450850666622965	2.71779940358313	3.091063123744439	4.081301061392375	4.879141696544649	5.350681072558913	4.2992533005806735	3.068503668893291
ARF5	5.007823542073977	5.0474673396314325	5.079813252211537	5.036074868251061	5.148819770673784	5.263863484182924	5.169872735493486	5.1262909125564455
SARM1	1.9850457550978917	2.0201337825552725	2.0719686183054233	1.771654306445165	2.0598186525411	2.126879750054879	2.1806591608781245	2.2579874741820642
POLDIP2	6.200735389038467	6.2699027720714104	6.273717034543834	6.323801714072031	6.382521831576725	6.084515089140787	5.9741959190913665	5.934504341842981
PLXND1	7.643388273594482	7.78873224743379	7.744020741443857	7.61577835618731	7.685202714115846	7.492952846093755	7.133038533734027	8.763227648803067
AK2	8.407292134096416	8.445884040176821	8.530588126188386	8.662488711037366	8.677911203354668	8.319498323774324	7.891698716967113	7.8683095475448415
CD38	5.600274831537738	5.780363201472752	5.998596595601404	6.155938654164215	6.447947118274293	7.68955115848717	8.178159176656076	8.778346422831522
FKBP4	4.881280159229357	4.845356984564547	4.8611763490745945	5.087517475271996	5.101243760572743	4.708716562067965	4.376547038297742	4.5816077564421125
KDM1A	6.696493252752093	6.700555165701747	6.712249715093148	6.804057066371047	6.770788712420877	6.2583679705848585	6.0910328692921825	5.66154549676373
RBM6	5.795782790465385	5.786541347344091	5.72000210101708	5.913692602694543	5.783067241513475	5.549470036310677	5.677006155416048	5.720569659400448
CAMKK1	1.9337430287865875	1.7700443997948423	1.6321302352280145	1.1918760844678784	0.5306812641789275	-0.6669170387148686	-0.2385384424817755	0.6322364813091887
RECQL	6.322155643870959	6.1998095866016865	6.202878740911055	6.259922436742551	6.204530739902881	6.378675903011758	6.585475479807651	6.712691217976346
CCDC132	4.305651863633143	4.166985006391975	4.237687441971265	4.224467905303666	3.891456311327329	4.02067517195531	4.440539671529553	4.907131732573864
HSPB6	-1.5922129843247603	-2.1058727161713424	-1.82074146810909	-2.1872449680472785	-1.9671542569306704	-1.6811560857042507	-2.009263462379233	-1.3150336851650692
ARHGAP33	4.012753388107395	4.106531717929414	4.1490387042843135	3.928149150056514	3.9903045342051655	3.5674550868952877	3.2581071294704715	0.569641041930328
NDUFAB1	5.275797930104446	5.29588440758303	5.400632438031689	5.37611245818708	5.383440068559539	5.3844490679041535	5.233472516456176	4.966860134663636
PDK4	3.2933800024749473	3.197965414228089	2.3902466196892336	1.2707421302470365	-0.33463810959958196	0.8944035042408636	1.5703618687943734	0.9726028674265854
