	Node	Cluster_0.1	Cluster_0.195	Cluster_0.29000000000000004	Cluster_0.385	Cluster_0.48	Cluster_0.575	Cluster_0.67	Cluster_0.765	Cluster_0.86	Cluster_0.955	Cluster_1.05	Cluster_1.145	Cluster_1.2400000000000002	Cluster_1.3350000000000002	Cluster_1.4300000000000002	Cluster_1.5250000000000001	Cluster_1.62	Cluster_1.715	Cluster_1.81	Cluster_1.905	Cluster_2.0
64	64	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
65	65	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
66	66	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
67	67	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
68	68	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
69	69	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
70	70	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
71	71	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
72	72	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
73	73	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
74	74	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
75	75	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
76	76	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
77	77	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
78	78	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
79	79	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
80	80	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
81	81	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
82	82	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
83	83	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
84	84	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
85	85	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
86	86	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
87	87	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
88	88	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
89	89	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
90	90	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
91	91	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
92	92	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
93	93	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
94	94	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
95	95	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
96	96	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
97	97	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
98	98	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
99	99	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
100	100	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
101	101	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
102	102	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
103	103	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
104	104	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
105	105	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
106	106	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
107	107	0	0	1	0	0	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
108	108	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
109	109	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
110	110	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
111	111	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
112	112	0	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
113	113	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
114	114	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
115	115	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
116	116	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
117	117	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
118	118	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
119	119	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
120	120	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
121	121	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
122	122	0	0	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	1	1	1	1
123	123	0	0	1	0	0	0	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0
