hgnc	THP1_macrophages_0000min	THP1_macrophages_0030min	THP1_macrophages_0060min	THP1_macrophages_0090min	THP1_macrophages_0120min	THP1_macrophages_0240min	THP1_macrophages_0360min	THP1_macrophages_1440min
TNMD	-4.551196259797653	-4.55119625979765	-4.55119625979765	-4.293278020006689	-4.55119625979765	-4.034296399799748	-2.16991425308663	-1.050399235973005
SCYL3	3.836834577898691	3.7497881355175964	3.914635048324473	4.139900512705335	4.506004353181989	5.68453392942075	5.360551094714431	5.2060498091794205
C1orf112	4.811412664625379	4.765831631255683	4.785802817361143	4.76109369091858	4.640941005347281	4.686038523056615	4.78236809887343	3.1595599369262928
FGR	3.2859706667351425	3.46766554016502	3.5725481730473865	3.83189551697231	4.423600503290908	5.389767617666505	5.719573620265885	5.087521714372026
CFH	-1.0894044614507832	-0.0888428889863701	1.5315239965741796	2.880988276694982	3.946683199784273	6.705203329440667	7.462908584385513	8.8356053571506
GCLC	6.921531455798812	6.95268288274179	6.688691869196524	6.246025096548108	5.413085861455535	4.92926170525924	6.640734029175473	7.942737679502743
STPG1	2.2885493160957164	2.3751492419559392	2.5751562329426436	2.6188760667985624	2.9228683180403072	3.8439245448985124	3.1970065054962102	1.973963722135799
LAS1L	5.8398714597054155	5.884232262246544	5.9439321168203545	6.057933388497856	6.061769535119703	5.670369200120719	5.501053002952958	4.313505139784648
ENPP4	4.303369021864558	4.2454456748737766	4.350442805616523	4.437640487094113	4.5890990034769334	5.542437308276689	5.935560763188187	5.9054004791702175
SEMA3F	2.0203880625160355	2.262232394708594	2.0804213368818876	1.7499274419228785	1.5920320091288596	1.0128699150729799	0.6395540515421207	0.5907646108528879
ANKIB1	5.522226991727326	5.506159126851005	5.534236589885076	5.570782908343041	5.427633421681538	6.2773086637979985	6.934437290118952	6.870151840885297
LAP3	6.867077286808194	7.037910076379579	7.662013922232765	8.200054983372791	8.677502265407956	9.839125732535726	10.219869808872094	10.20912836612513
HS3ST1	0.5364378838424555	0.6392248021401933	0.5817976591260232	0.0061281358433604854	0.01911087426736255	0.30713983432963754	0.5777894201941928	1.8788873972429085
AOC1	5.3372162160820045	5.623046575085452	5.4889193740152855	5.505282934177136	5.634887167646816	5.632606694073585	5.705799852928987	7.392827899554147
SNX11	5.375212167761953	5.267860680963095	5.28002129775844	5.58805345043496	6.0536825849465625	5.856037468516342	6.074555371004265	6.9211339421532685
TMEM176A	0.3060595636049761	0.6562707758693508	0.8075400834666886	0.778598302346175	1.1761787297599238	2.220481507933684	2.9252662000839837	5.437300180357715
KLHL13	-0.16039370455999624	0.2520788060809143	0.3649864489936629	0.5943460134853761	0.2919101846878853	-1.5636706692591913	-1.6657692624464349	-2.473765599845759
DBNDD1	1.059607204595943	1.1103911050693644	1.0741180767121419	0.9999438361793074	0.9845274000530648	0.6904854763204555	0.32609089377346834	-0.15091140375508125
CASP10	4.272619837141953	4.394236088439406	4.6841950176588565	5.140693244718211	5.554864839406388	6.959606470904554	6.7777885418381505	6.40468538278923
CFLAR	7.198679987398847	7.271603027403617	7.551656758186919	8.07090251087293	8.724554513625618	9.32288171604121	9.227252579750001	9.566853429805166
SLC7A2	2.6450850666622965	2.71779940358313	3.091063123744439	4.081301061392375	4.879141696544649	5.350681072558913	4.2992533005806735	3.068503668893291
PLXND1	7.643388273594482	7.78873224743379	7.744020741443857	7.61577835618731	7.685202714115846	7.492952846093755	7.133038533734027	8.763227648803067
CD38	5.600274831537738	5.780363201472752	5.998596595601404	6.155938654164215	6.447947118274293	7.68955115848717	8.178159176656076	8.778346422831522
CAMKK1	1.9337430287865875	1.7700443997948423	1.6321302352280145	1.1918760844678784	0.5306812641789275	-0.6669170387148686	-0.2385384424817755	0.6322364813091887
ARHGAP33	4.012753388107395	4.106531717929414	4.1490387042843135	3.928149150056514	3.9903045342051655	3.5674550868952877	3.2581071294704715	0.569641041930328
PDK4	3.2933800024749473	3.197965414228089	2.3902466196892336	1.2707421302470365	-0.33463810959958196	0.8944035042408636	1.5703618687943734	0.9726028674265854
